FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
23441,2173,1,1853,1847,121.342690000000000,449366.000000000000000,4394657.000000000000000,1487139,875.3350220
23442,2173,1,1853,1847,121.342690000000000,449367.000000000000000,4394658.000000000000000,1487127,875.4390259
23443,2173,1,1853,1847,121.342690000000000,449371.000000000000000,4394658.000000000000000,1487014,876.2999878
23444,2173,1,1853,1847,121.342690000000000,449373.000000000000000,4394660.000000000000000,1487007,876.8709717
23445,2173,1,1853,1847,121.342690000000000,449375.000000000000000,4394659.000000000000000,1487003,877.1069946
23446,2173,1,1853,1847,121.342690000000000,449379.000000000000000,4394662.000000000000000,1486815,877.5449829
23447,2173,1,1853,1847,121.342690000000000,449384.000000000000000,4394662.000000000000000,1485656,878.5239868
23448,2173,1,1853,1847,121.342690000000000,449388.000000000000000,4394659.000000000000000,1485462,879.5120239
23449,2173,1,1853,1847,121.342690000000000,449391.000000000000000,4394660.000000000000000,1485439,879.8010254
23450,2173,1,1853,1847,121.342690000000000,449397.000000000000000,4394659.000000000000000,1484712,880.3599854
23451,2173,1,1853,1847,121.342690000000000,449400.000000000000000,4394661.000000000000000,1483955,880.9730225
23452,2173,1,1853,1847,121.342690000000000,449403.000000000000000,4394661.000000000000000,1483796,881.2269897
23453,2173,1,1853,1847,121.342690000000000,449406.000000000000000,4394658.000000000000000,1483757,881.4799805
23454,2173,1,1853,1847,121.342690000000000,449407.000000000000000,4394659.000000000000000,1480374,881.5679932
23455,2173,1,1853,1847,121.342690000000000,449413.000000000000000,4394658.000000000000000,1479146,882.5629883
23456,2173,1,1853,1847,121.342690000000000,449414.000000000000000,4394655.000000000000000,1479124,882.8259888
23457,2173,1,1853,1847,121.342690000000000,449420.000000000000000,4394656.000000000000000,1478522,883.6719971
23458,2173,1,1853,1847,121.342690000000000,449433.000000000000000,4394659.000000000000000,1478121,885.0640259
23459,2173,1,1853,1847,121.342690000000000,449438.000000000000000,4394662.000000000000000,1175992,885.3829956
23460,2175,1,1805,1855,130.118213999999990,450531.000000000000000,4394667.000000000000000,115220,1135.7500000
23461,2175,1,1805,1855,130.118213999999990,450522.000000000000000,4394658.000000000000000,115387,1135.2299805
23462,2175,1,1805,1855,130.118213999999990,450522.000000000000000,4394654.000000000000000,115415,1135.1999512
23463,2175,1,1805,1855,130.118213999999990,450521.000000000000000,4394653.000000000000000,115426,1134.9699707
23464,2175,1,1805,1855,130.118213999999990,450514.000000000000000,4394654.000000000000000,116436,1135.1400146
23465,2178,1,1811,1857,105.622439000000000,449847.000000000000000,4394667.000000000000000,12760,966.6820068
23466,2178,1,1811,1857,105.622439000000000,449847.000000000000000,4394665.000000000000000,12766,965.5529785
23467,2178,1,1811,1857,105.622439000000000,449843.000000000000000,4394661.000000000000000,12950,963.7319946
23468,2178,1,1811,1857,105.622439000000000,449843.000000000000000,4394658.000000000000000,13072,962.7249756
23469,2178,1,1811,1857,105.622439000000000,449841.000000000000000,4394654.000000000000000,13691,961.3280029
23470,2180,1,1770,1858,391.998756000000010,449277.000000000000000,4394668.000000000000000,48421,871.6849976
23471,2180,1,1770,1858,391.998756000000010,449276.000000000000000,4394666.000000000000000,48428,871.2509766
23472,2180,1,1770,1858,391.998756000000010,449277.000000000000000,4394657.000000000000000,48479,869.8989868
23473,2180,1,1770,1858,391.998756000000010,449268.000000000000000,4394653.000000000000000,50711,869.0250244
23474,2180,1,1770,1858,391.998756000000010,449238.000000000000000,4394655.000000000000000,55412,865.6229858
23475,2180,1,1770,1858,391.998756000000010,449235.000000000000000,4394655.000000000000000,57047,865.1550293
23476,2180,1,1770,1858,391.998756000000010,449231.000000000000000,4394657.000000000000000,57795,865.0120239
23477,2180,1,1770,1858,391.998756000000010,449226.000000000000000,4394655.000000000000000,58209,864.0070190
23478,2180,1,1770,1858,391.998756000000010,449209.000000000000000,4394655.000000000000000,60602,862.7500000
23479,2180,1,1770,1858,391.998756000000010,449208.000000000000000,4394654.000000000000000,60618,862.6389771
23480,2180,1,1770,1858,391.998756000000010,449202.000000000000000,4394654.000000000000000,61444,861.7600098
23481,2180,1,1770,1858,391.998756000000010,449196.000000000000000,4394653.000000000000000,63370,861.2020264
23482,2189,1,1800,1864,264.598104999999980,450619.000000000000000,4394668.000000000000000,13921,1138.1500244
23483,2189,1,1800,1864,264.598104999999980,450619.000000000000000,4394663.000000000000000,13940,1138.1400146
23484,2189,1,1800,1864,264.598104999999980,450623.000000000000000,4394659.000000000000000,14282,1138.1700439
23485,2189,1,1800,1864,264.598104999999980,450623.000000000000000,4394657.000000000000000,14308,1138.1600342
23486,2189,1,1800,1864,264.598104999999980,450625.000000000000000,4394655.000000000000000,14380,1138.1300049
23487,2189,1,1800,1864,264.598104999999980,450624.000000000000000,4394653.000000000000000,14391,1138.0899658
23488,2193,1,1846,1869,147.511999000000000,449441.000000000000000,4394663.000000000000000,1175538,885.8309937
23489,2193,1,1846,1869,147.511999000000000,449446.000000000000000,4394663.000000000000000,1175282,886.3129883
23490,2193,1,1846,1869,147.511999000000000,449452.000000000000000,4394661.000000000000000,1175206,886.8859863
23491,2193,1,1846,1869,147.511999000000000,449453.000000000000000,4394662.000000000000000,1175180,887.1400146
23492,2193,1,1846,1869,147.511999000000000,449457.000000000000000,4394662.000000000000000,1174953,887.6870117
23493,2193,1,1846,1869,147.511999000000000,449458.000000000000000,4394661.000000000000000,1174939,887.7249756
23494,2193,1,1846,1869,147.511999000000000,449459.000000000000000,4394662.000000000000000,1174378,887.8099976
23495,2193,1,1846,1869,147.511999000000000,449462.000000000000000,4394661.000000000000000,1174254,888.2189941
23496,2193,1,1846,1869,147.511999000000000,449470.000000000000000,4394661.000000000000000,1173397,888.7189941
23497,2193,1,1846,1869,147.511999000000000,449471.000000000000000,4394662.000000000000000,1173395,889.0499878
23498,2193,1,1846,1869,147.511999000000000,449474.000000000000000,4394659.000000000000000,1173171,889.5050049
23499,2193,1,1846,1869,147.511999000000000,449479.000000000000000,4394658.000000000000000,1172054,890.1989746
23500,2193,1,1846,1869,147.511999000000000,449481.000000000000000,4394656.000000000000000,1171832,890.2410278
23501,2193,1,1846,1869,147.511999000000000,449485.000000000000000,4394655.000000000000000,1171363,890.6220093
23502,2202,1,1877,1845,224.419872000000000,450756.000000000000000,4394654.000000000000000,20097,1141.5999756
23503,2202,1,1877,1845,224.419872000000000,450756.000000000000000,4394656.000000000000000,20077,1141.6600342
23504,2202,1,1877,1845,224.419872000000000,450764.000000000000000,4394663.000000000000000,19668,1141.9000244
23505,2202,1,1877,1845,224.419872000000000,450770.000000000000000,4394663.000000000000000,18846,1142.0899658
23506,2202,1,1877,1845,224.419872000000000,450771.000000000000000,4394664.000000000000000,18845,1142.0899658
23507,2202,1,1877,1845,224.419872000000000,450772.000000000000000,4394663.000000000000000,18830,1142.0999756
23508,2202,1,1877,1845,224.419872000000000,450775.000000000000000,4394664.000000000000000,18807,1142.1300049
23509,2203,1,1875,1810,203.993736000000010,450038.000000000000000,4394654.000000000000000,33781,1024.6600342
23510,2203,1,1875,1810,203.993736000000010,450038.000000000000000,4394657.000000000000000,33698,1026.0999756
23511,2203,1,1875,1810,203.993736000000010,450040.000000000000000,4394661.000000000000000,33175,1028.4300537
23512,2203,1,1875,1810,203.993736000000010,450044.000000000000000,4394666.000000000000000,33081,1032.2500000
23513,2209,1,1882,1794,230.145129999999990,450136.000000000000000,4394663.000000000000000,15220,1063.7700195
23514,2209,1,1882,1794,230.145129999999990,450137.000000000000000,4394668.000000000000000,14290,1067.5300293
23515,2215,1,1813,1886,171.589997000000010,450250.000000000000000,4394665.000000000000000,10270,1106.7600098
23516,2215,1,1813,1886,171.589997000000010,450245.000000000000000,4394659.000000000000000,10309,1101.1300049
23517,2215,1,1813,1886,171.589997000000010,450242.000000000000000,4394653.000000000000000,10340,1095.4399414
23518,2169,1,1849,1850,1.000000000000000,449101.000000000000000,4394652.000000000000000,15854,839.8020020
23519,2170,1,1850,1851,1.000000000000000,449101.000000000000000,4394652.000000000000000,15854,839.8020020
