X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
458015,4379429,4384,21564,4384,458015,4379429,682225,3.08017,738.245
458016,4379428,4384,21564,4384,458016,4379428,682279,17.1188,738.2
458017,4379428,4384,21564,4384,458017,4379428,682288,23.0199,738.22
458018,4379429,4384,21564,4384,458018,4379429,682291,17.496,738.217
458018,4379430,4384,21564,4384,458018,4379430,682293,0.837164,738.224
458019,4379431,4384,21564,4384,458019,4379431,682343,4.60751,738.112
458019,4379432,4384,21564,4384,458019,4379432,682344,4.06241,738.136
458019,4379433,4384,21564,4384,458019,4379433,682451,8.21146,738.066
458020,4379433,4384,21564,4384,458020,4379433,682454,5.30466,738.132
458021,4379433,4384,21564,4384,458021,4379433,682455,3.58719,738.128
458022,4379433,4384,21564,4384,458022,4379433,682467,6.25813,737.975
458023,4379433,4384,21564,4384,458023,4379433,682480,8.89718,737.973
458024,4379433,4384,21564,4384,458024,4379433,682482,10.6984,737.984
458025,4379433,4384,21564,4384,458025,4379433,682488,10.6061,738.024
458026,4379433,4384,21564,4384,458026,4379433,682493,19.7003,737.718
458027,4379433,4384,21564,4384,458027,4379433,682515,15.6385,737.228
458028,4379433,4384,21564,4384,458028,4379433,682518,4.69724,737.227
458029,4379433,4384,21564,4384,458029,4379433,682551,7.05023,737.494
458030,4379433,4384,21564,4384,458030,4379433,682553,8.48186,737.538
458031,4379433,4384,21564,4384,458031,4379433,683726,9.39133,737.498
458032,4379432,4384,21564,4384,458032,4379432,683749,2.10601,737.461
458033,4379431,4384,21564,4384,458033,4379431,683753,10.7239,737.485
458034,4379431,4384,21564,4384,458034,4379431,683762,2.55455,737.318
458035,4379431,4384,21564,4384,458035,4379431,683802,8.9518,737.451
458036,4379430,4384,21564,4384,458036,4379430,683807,19.8101,737.008
458037,4379429,4384,21564,4384,458037,4379429,4,9.39292,736.845
458037,4379428,4384,21564,4384,458037,4379428,2670,8.80043,736.92
458037,4379427,4384,21564,4384,458037,4379427,686540,7.98412,737.077
458038,4379426,4384,21564,4384,458038,4379426,686541,0.553932,737.153
458039,4379425,4384,21564,4384,458039,4379425,686677,5.57883,737.083
458040,4379426,4384,21564,4384,458040,4379426,686701,3.48369,736.923
458041,4379425,4384,21564,4384,458041,4379425,686725,6.58418,736.914
458042,4379424,4384,21564,4384,458042,4379424,686729,9.44593,736.998
458042,4379423,4384,21564,4384,458042,4379423,686771,0.20108,736.94
458042,4379422,4384,21564,4384,458042,4379422,686772,1.99578,736.997
458042,4379421,4384,21564,4384,458042,4379421,686779,4.3402,736.889
458042,4379420,4384,21564,4384,458042,4379420,686810,6.69789,736.856
458043,4379419,4384,21564,4384,458043,4379419,686822,3.34329,736.773
458044,4379418,4384,21564,4384,458044,4379418,687279,6.79907,736.651
458045,4379417,4384,21564,4384,458045,4379417,687282,4.57816,736.845
458045,4379416,4384,21564,4384,458045,4379416,687298,16.3669,736.705
458046,4379415,4384,21564,4384,458046,4379415,78,7.35204,736.584
458047,4379415,4384,21564,4384,458047,4379415,687398,6.31487,736.656
458048,4379414,4384,21564,4384,458048,4379414,687410,4.86145,736.675
458049,4379413,4384,21564,4384,458049,4379413,687413,3.1736,736.466
458050,4379412,4384,21564,4384,458050,4379412,687800,7.22624,736.546
458051,4379411,4384,21564,4384,458051,4379411,688196,2.33459,736.458
458052,4379411,4384,21564,4384,458052,4379411,688198,7.02344,736.509
458053,4379411,4384,21564,4384,458053,4379411,688211,3.96683,736.472
458054,4379411,4384,21564,4384,458054,4379411,688217,10.7106,736.558
458055,4379411,4384,21564,4384,458055,4379411,688231,18.3209,736.499
458056,4379412,4384,21564,4384,458056,4379412,688232,3.90866,736.721
458057,4379412,4384,21564,4384,458057,4379412,688239,20.3694,736.41
458058,4379412,4384,21564,4384,458058,4379412,688553,19.4482,735.981
458059,4379412,4384,21564,4384,458059,4379412,688566,10.6081,735.934
458060,4379412,4384,21564,4384,458060,4379412,688632,2.54667,735.916
458061,4379411,4384,21564,4384,458061,4379411,688689,9.89418,735.943
458062,4379410,4384,21564,4384,458062,4379410,688697,14.7965,735.678
458063,4379409,4384,21564,4384,458063,4379409,486,19.4245,735.642
458064,4379408,4384,21564,4384,458064,4379408,13,9.34944,735.793
458065,4379407,4384,21564,4384,458065,4379407,68,8.93166,735.801
458066,4379406,4384,21564,4384,458066,4379406,1,11.1612,735.867
458067,4379405,4384,21564,4384,458067,4379405,0,9.17942,735.842
458068,4379405,4384,21564,4384,458068,4379405,689342,3.95759,735.947
458069,4379404,4384,21564,4384,458069,4379404,689343,11.088,735.825
458069,4379403,4384,21564,4384,458069,4379403,689344,8.11783,735.599
458070,4379403,4384,21564,4384,458070,4379403,689744,5.50448,735.547
458071,4379403,4384,21564,4384,458071,4379403,690149,9.63594,735.47
458072,4379403,4384,21564,4384,458072,4379403,690153,14.0685,735.228
458073,4379403,4384,21564,4384,458073,4379403,690252,3.41453,735.088
458074,4379404,4384,21564,4384,458074,4379404,690253,9.40072,735.097
458075,4379404,4384,21564,4384,458075,4379404,690255,9.10501,734.878
458076,4379404,4384,21564,4384,458076,4379404,690315,9.84447,734.738
458077,4379404,4384,21564,4384,458077,4379404,690317,13.3367,734.733
458078,4379405,4384,21564,4384,458078,4379405,690320,10.3351,734.688
458079,4379405,4384,21564,4384,458079,4379405,690323,15.741,734.43
458080,4379406,4384,21564,4384,458080,4379406,690324,23.7142,733.997
