X,Y,streamorde,IX,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
446972,4399744,2,38528,446972.00000000000,4399744.00000000000,13747,27.85810000000,624.39400000000
446972,4399743,2,38528,446972.00000000000,4399743.00000000000,13758,20.42120000000,623.83700000000
446972,4399742,2,38528,446972.00000000000,4399742.00000000000,14031,13.42200000000,623.75900000000
446972,4399741,2,38528,446972.00000000000,4399741.00000000000,14035,19.33930000000,623.50300000000
446972,4399740,2,38528,446972.00000000000,4399740.00000000000,14037,26.62550000000,623.11900000000
446972,4399739,2,38528,446972.00000000000,4399739.00000000000,14040,33.57940000000,622.55000000000
446972,4399738,2,38528,446972.00000000000,4399738.00000000000,14092,38.60560000000,621.82700000000
446972,4399737,2,38528,446972.00000000000,4399737.00000000000,14110,34.14670000000,621.07300000000
446972,4399736,2,38528,446972.00000000000,4399736.00000000000,14158,24.99880000000,620.66700000000
446973,4399735,2,38528,446973.00000000000,4399735.00000000000,14167,13.37650000000,620.34500000000
446974,4399734,2,38528,446974.00000000000,4399734.00000000000,14184,21.81030000000,619.98200000000
446975,4399733,2,38528,446975.00000000000,4399733.00000000000,14188,28.60100000000,619.38000000000
446975,4399732,2,38528,446975.00000000000,4399732.00000000000,14202,30.61970000000,618.79700000000
446976,4399731,2,38528,446976.00000000000,4399731.00000000000,14217,33.33950000000,618.04900000000
446977,4399730,2,38528,446977.00000000000,4399730.00000000000,14236,34.11670000000,617.15100000000
446977,4399729,2,38528,446977.00000000000,4399729.00000000000,14237,30.49120000000,616.46100000000
446977,4399728,2,38528,446977.00000000000,4399728.00000000000,14238,25.31640000000,616.00400000000
446977,4399727,2,38528,446977.00000000000,4399727.00000000000,18535,21.19530000000,615.49300000000
446977,4399726,2,38528,446977.00000000000,4399726.00000000000,18695,17.37200000000,615.12300000000
446977,4399725,2,38528,446977.00000000000,4399725.00000000000,18722,17.91530000000,614.79600000000
446977,4399724,2,38528,446977.00000000000,4399724.00000000000,18723,19.70110000000,614.65000000000
446977,4399723,2,38528,446977.00000000000,4399723.00000000000,18740,23.26550000000,614.33200000000
446978,4399722,2,38528,446978.00000000000,4399722.00000000000,18769,27.40640000000,613.80000000000
446978,4399721,2,38528,446978.00000000000,4399721.00000000000,18783,27.34670000000,613.24000000000
446978,4399720,2,38528,446978.00000000000,4399720.00000000000,18788,27.52930000000,612.73300000000
446978,4399719,2,38528,446978.00000000000,4399719.00000000000,18794,28.61240000000,612.24300000000
446978,4399718,2,38528,446978.00000000000,4399718.00000000000,18817,31.90130000000,611.64900000000
446978,4399717,2,38528,446978.00000000000,4399717.00000000000,18822,27.06580000000,611.01000000000
446978,4399716,2,38528,446978.00000000000,4399716.00000000000,18836,16.86990000000,610.69300000000
446978,4399715,2,38528,446978.00000000000,4399715.00000000000,18837,14.24740000000,610.54700000000
446978,4399714,2,38528,446978.00000000000,4399714.00000000000,18845,19.69390000000,610.31000000000
446978,4399713,2,38528,446978.00000000000,4399713.00000000000,18847,29.81090000000,609.88100000000
446978,4399712,2,38528,446978.00000000000,4399712.00000000000,18850,36.84290000000,609.23300000000
446978,4399711,2,38528,446978.00000000000,4399711.00000000000,18859,36.95800000000,608.53300000000
446979,4399710,2,38528,446979.00000000000,4399710.00000000000,18942,26.54470000000,607.74700000000
446979,4399709,2,38528,446979.00000000000,4399709.00000000000,18952,27.26360000000,607.31200000000
446979,4399708,2,38528,446979.00000000000,4399708.00000000000,18960,26.19780000000,606.70400000000
446979,4399707,2,38528,446979.00000000000,4399707.00000000000,19179,25.21450000000,606.27700000000
446979,4399706,2,38528,446979.00000000000,4399706.00000000000,19258,28.20670000000,605.73400000000
446979,4399705,2,38528,446979.00000000000,4399705.00000000000,19293,23.16620000000,605.16100000000
446979,4399704,2,38528,446979.00000000000,4399704.00000000000,19311,22.23480000000,604.96700000000
446979,4399703,2,38528,446979.00000000000,4399703.00000000000,19313,26.88340000000,604.55100000000
446979,4399702,2,38528,446979.00000000000,4399702.00000000000,19335,23.37920000000,604.03300000000
446979,4399701,2,38528,446979.00000000000,4399701.00000000000,19349,17.52620000000,603.67700000000
446979,4399700,2,38528,446979.00000000000,4399700.00000000000,19354,13.02280000000,603.49400000000
446979,4399699,2,38528,446979.00000000000,4399699.00000000000,19359,15.38620000000,603.35600000000
446979,4399698,2,38528,446979.00000000000,4399698.00000000000,19360,19.56840000000,603.03300000000
446979,4399697,2,38528,446979.00000000000,4399697.00000000000,19371,22.10860000000,602.69000000000
446979,4399696,2,38528,446979.00000000000,4399696.00000000000,19375,26.71840000000,602.28700000000
446978,4399695,2,38528,446978.00000000000,4399695.00000000000,19376,31.69340000000,601.54500000000
446978,4399694,2,38528,446978.00000000000,4399694.00000000000,19381,32.30590000000,600.96100000000
446977,4399693,2,38528,446977.00000000000,4399693.00000000000,19430,33.37910000000,600.12700000000
446977,4399692,2,38528,446977.00000000000,4399692.00000000000,19435,30.53210000000,599.40400000000
446977,4399691,2,38528,446977.00000000000,4399691.00000000000,19542,21.80620000000,598.88900000000
446977,4399690,2,38528,446977.00000000000,4399690.00000000000,19552,18.66930000000,598.44100000000
446977,4399689,2,38528,446977.00000000000,4399689.00000000000,19553,21.21400000000,598.29400000000
446977,4399688,2,38528,446977.00000000000,4399688.00000000000,19558,23.50750000000,597.87200000000
