FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
14167,2557,1,2065,2218,76.164401999999995,458868.000000000000000,4380159.000000000000000,4664094,632.2369995
14168,2557,1,2065,2218,76.164401999999995,458870.000000000000000,4380157.000000000000000,4664279,632.2760010
14169,2557,1,2065,2218,76.164401999999995,458873.000000000000000,4380158.000000000000000,4664601,632.2789917
14170,2560,1,1844,2221,138.591625999999990,457661.000000000000000,4380170.000000000000000,2285,736.7520142
14171,2560,1,1844,2221,138.591625999999990,457656.000000000000000,4380166.000000000000000,2100,737.7039795
14172,2560,1,1844,2221,138.591625999999990,457654.000000000000000,4380159.000000000000000,1619,739.9619751
14173,2562,1,2145,2223,19.549019000000001,458483.000000000000000,4380162.000000000000000,4291623,649.9010010
14174,2562,1,2145,2223,19.549019000000001,458483.000000000000000,4380159.000000000000000,4291632,649.7490234
14175,2562,1,2145,2223,19.549019000000001,458482.000000000000000,4380158.000000000000000,4291749,649.7299805
14176,2570,1,2123,2230,91.978657999999996,456380.000000000000000,4380172.000000000000000,4945,826.6510010
14177,2570,1,2123,2230,91.978657999999996,456384.000000000000000,4380169.000000000000000,5715,825.0739746
14178,2570,1,2123,2230,91.978657999999996,456392.000000000000000,4380169.000000000000000,6259,823.4929810
14179,2570,1,2123,2230,91.978657999999996,456399.000000000000000,4380162.000000000000000,6738,820.9840088
14180,2570,1,2123,2230,91.978657999999996,456406.000000000000000,4380161.000000000000000,7164,819.1569824
14181,2570,1,2123,2230,91.978657999999996,456408.000000000000000,4380159.000000000000000,7218,818.3670044
14182,2570,1,2123,2230,91.978657999999996,456414.000000000000000,4380157.000000000000000,7742,816.9359741
14183,2571,1,2169,2231,52.039696999999997,458243.000000000000000,4380157.000000000000000,16450,678.9390259
14184,2571,1,2169,2231,52.039696999999997,458245.000000000000000,4380159.000000000000000,16713,678.4819946
14185,2571,1,2169,2231,52.039696999999997,458249.000000000000000,4380159.000000000000000,16824,677.6119995
14186,2572,1,1930,2232,132.787981000000000,458324.000000000000000,4380170.000000000000000,3930982,663.2890015
14187,2572,1,1930,2232,132.787981000000000,458325.000000000000000,4380169.000000000000000,3930984,663.3150024
14188,2572,1,1930,2232,132.787981000000000,458324.000000000000000,4380167.000000000000000,3930992,662.9240112
14189,2572,1,1930,2232,132.787981000000000,458321.000000000000000,4380164.000000000000000,3931848,662.2520142
14190,2572,1,1930,2232,132.787981000000000,458319.000000000000000,4380164.000000000000000,3932026,662.0910034
14191,2572,1,1930,2232,132.787981000000000,458319.000000000000000,4380161.000000000000000,3932040,661.9270020
14192,2572,1,1930,2232,132.787981000000000,458312.000000000000000,4380158.000000000000000,3932164,661.6699829
14193,2575,1,2137,2234,29.475216000000000,459011.000000000000000,4380167.000000000000000,1221,639.6270142
14194,2575,1,2137,2234,29.475216000000000,459014.000000000000000,4380160.000000000000000,1269,636.2999878
14195,2577,1,2055,2235,53.136032000000000,458530.000000000000000,4380162.000000000000000,3424,655.8649902
14196,2577,1,2055,2235,53.136032000000000,458527.000000000000000,4380157.000000000000000,3652,654.0260010
14197,2583,1,2170,2239,20.518284999999999,459476.000000000000000,4380157.000000000000000,8165,660.9169922
14198,2586,1,2241,2110,38.827725999999998,457886.000000000000000,4380158.000000000000000,263429,702.8060303
14199,2586,1,2241,2110,38.827725999999998,457888.000000000000000,4380162.000000000000000,263455,702.7039795
14200,2586,1,2241,2110,38.827725999999998,457883.000000000000000,4380171.000000000000000,263938,701.6069946
14201,2592,1,2139,2245,28.364084999999999,459082.000000000000000,4380165.000000000000000,4794997,626.7650146
14202,2592,1,2139,2245,28.364084999999999,459081.000000000000000,4380162.000000000000000,1417,627.2910156
14203,2592,1,2139,2245,28.364084999999999,459085.000000000000000,4380159.000000000000000,1397,630.5089722
14204,2594,1,1862,2247,132.195938000000010,457084.000000000000000,4380169.000000000000000,4557,773.5510254
14205,2594,1,1862,2247,132.195938000000010,457081.000000000000000,4380165.000000000000000,4448,775.3690186
14206,2594,1,1862,2247,132.195938000000010,457081.000000000000000,4380159.000000000000000,4369,776.9190063
14207,2595,1,2020,2248,80.360927000000004,459441.000000000000000,4380170.000000000000000,2328,652.7130127
14208,2595,1,2020,2248,80.360927000000004,459443.000000000000000,4380163.000000000000000,2229,655.6539917
